id,title,grade,subject,volume,collection_or_program,publisher_or_imprint,publication_year_or_era,date_confidence,local_file,image_url,page_url,source_name,source_caption_or_note,rights_note
pre-2020-tu-nhien-xa-hoi-1,Tự nhiên và Xã hội 1,1,Tự nhiên và Xã hội,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-tu-nhien-xa-hoi-1-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Tu-nhien-va-xa-hoi-1.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Sách Giáo Khoa Tự nhiên và Xã hội lớp 1,Use as research reference; clear reuse rights not established.
2020-canh-dieu-dao-duc-1,Đạo đức 1,1,Đạo đức,single volume,Cánh Diều,unknown,2020-present,curriculum-era,images/2020-canh-dieu-dao-duc-1-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-dao-duc-1-canh-dieu.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Sách giáo khoa đạo đức 1 (Cánh diều),Use as research reference; clear reuse rights not established.
2020-ket-noi-dao-duc-1,Đạo đức 1,1,Đạo đức,single volume,Kết nối tri thức với cuộc sống,NXB Giáo dục Việt Nam,2020-present,curriculum-era,images/2020-ket-noi-dao-duc-1-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Dao-duc-1-ket-noi-tri-thuc-voi-cuoc-song.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Đạo đức 1 (Kết nối tri thức với cuộc sống),Use as research reference; clear reuse rights not established.
2020-ket-noi-tu-nhien-xa-hoi-1,Tự nhiên và Xã hội 1,1,Tự nhiên và Xã hội,single volume,Kết nối tri thức với cuộc sống,NXB Giáo dục Việt Nam,2020-present,curriculum-era,images/2020-ket-noi-tu-nhien-xa-hoi-1-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Tu-nhien-va-hoi-xa-hoi-1-ket-noi-tri-thuc-voi-cuoc-song.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Tự nhiên và xã hội 1 (Kết nối tri thức với cuộc sống),Use as research reference; clear reuse rights not established.
2020-ket-noi-giao-duc-the-chat-1,Giáo dục thể chất 1,1,Giáo dục thể chất,single volume,Kết nối tri thức với cuộc sống,NXB Giáo dục Việt Nam,2020-present,curriculum-era,images/2020-ket-noi-giao-duc-the-chat-1-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Giao-duc-the-chat-1-ket-noi-tri-thuc-voi-cuoc-song.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Giáo dục thế chất 1 (Kết nối tri thức với cuộc sống),Use as research reference; clear reuse rights not established.
2020-cung-hoc-tu-nhien-xa-hoi-1,Tự nhiên và Xã hội 1,1,Tự nhiên và Xã hội,single volume,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-tu-nhien-xa-hoi-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Tu-nhien-Xa-hoi-1-SHS-scaled.jpg,https://sobee.vn/san-pham/tu-nhien-va-xa-hoi-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Tự nhiên và xã hội 1 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; product image is the cover.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-dao-duc-1,Đạo đức 1,1,Đạo đức,single volume,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-dao-duc-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Dao-duc-1-SHS-scaled.jpg,https://sobee.vn/san-pham/dao-duc-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Đạo đức 1 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; product image is the cover.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-am-nhac-1,Âm nhạc 1,1,Âm nhạc,single volume,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-am-nhac-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-1-4-Am-nhac-1-SHS-scaled.jpg,https://sobee.vn/san-pham/am-nhac-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Âm nhạc 1 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; product image is the cover.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-my-thuat-1,Mĩ thuật 1,1,Mĩ thuật,single volume,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-mi-thuat-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Mi-thuat-1-SHS-scaled.jpg,https://sobee.vn/san-pham/mi-thuat-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Mĩ thuật 1 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; product image is the cover.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-giao-duc-the-chat-1-sobee,Giáo dục thể chất 1,1,Giáo dục thể chất,single volume,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-giao-duc-the-chat-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Giao-duc-the-chat-1-SHS-scaled.jpg,https://sobee.vn/san-pham/giao-duc-the-chat-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Giáo dục thể chất 1 SGK Cùng học để phát triển năng lực; page states the book belongs to Cùng học để phát triển năng lực and the product metadata lists Nhà xuất bản Giáo dục Việt Nam; product image is the cover.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-hoat-dong-trai-nghiem-1,Hoạt động trải nghiệm 1,1,Hoạt động trải nghiệm,single volume,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-hoat-dong-trai-nghiem-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-HDTN1-SHS-scaled.jpg,https://sobee.vn/san-pham/hoat-dong-trai-nghiem-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Hoạt động trải nghiệm 1 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; product image is the cover.,Use as research reference; clear reuse rights not established.
pre-2020-toan-2,Toán 2,2,Toán,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-toan-2-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-2-500x554.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-2-ban-day-du,SachHoc,Product page title: Sách giáo khoa toán lớp 2 bản đầy đủ,Use as research reference; clear reuse rights not established.
2021-chan-troi-toan-6-tap-1,Toán 6,6,Toán,Tập 1,Chân trời sáng tạo,NXB Giáo dục Việt Nam,2021-present,curriculum-era,images/2021-chan-troi-toan-6-tap-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop6-9/Sach-giao-khoa-toan-6-tap-1-chan-troi-sang-tao-500x554.jpg,https://sachhoc.com/sach-giao-khoa-toan-6-tap-1-2-chan-troi-sang-tao,SachHoc,"Product page title: Sách giáo khoa toán 6 tập 1,2 (Chân trời sáng tạo)",Use as research reference; clear reuse rights not established.
2021-chan-troi-toan-6-tap-2,Toán 6,6,Toán,Tập 2,Chân trời sáng tạo,NXB Giáo dục Việt Nam,2021-present,curriculum-era,images/2021-chan-troi-toan-6-tap-2-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop6-9/Sach-giao-khoa-toan-6-tap-2-chan-troi-sang-tao-500x554.jpg,https://sachhoc.com/sach-giao-khoa-toan-6-tap-1-2-chan-troi-sang-tao,SachHoc,"Product page title: Sách giáo khoa toán 6 tập 1,2 (Chân trời sáng tạo)",Use as research reference; clear reuse rights not established.
pre-2020-sinh-hoc-12,Sinh học 12,12,Sinh học,single volume,pre-2020 common textbook / 2006 upper-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-sinh-hoc-12-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Sach-giao-khoa-sinh-hoc-12.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-12,SachHoc,Related item alt text: Sách giáo khoa sinh học 12,Use as research reference; clear reuse rights not established.
pre-2020-dia-li-12,Địa Lí 12,12,Địa lí,single volume,pre-2020 common textbook / 2006 upper-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-dia-li-12-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Dia-li-12.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-12,SachHoc,Related item alt text: Sách giáo khoa Địa Lí 12,Use as research reference; clear reuse rights not established.
pre-2020-gdcd-12,Giáo dục công dân 12,12,Giáo dục công dân,single volume,pre-2020 common textbook / 2006 upper-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-gdcd-12-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Giao-duc-cong-dan-12.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-12,SachHoc,Related item alt text: Sách giáo khoa giáo dục công dân 12,Use as research reference; clear reuse rights not established.
pre-2020-lich-su-12,Lịch sử 12,12,Lịch sử,single volume,pre-2020 common textbook / 2006 upper-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-lich-su-12-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Lich-su-12.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-12,SachHoc,Related item alt text: Sách giáo khoa Lịch sử 12,Use as research reference; clear reuse rights not established.
pre-2020-dia-li-12-nang-cao,Địa Lí 12 nâng cao,12,Địa lí,single volume,pre-2020 advanced upper-secondary textbook,unknown,2006-2019,inferred-era,images/pre-2020-dia-li-12-nang-cao-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Sach-giao-khoa-dia-li-12-nang-cao.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-12,SachHoc,Related item alt text: Sách giáo khoa Địa Lí 12 nâng cao,Use as research reference; clear reuse rights not established.
pre-2020-sinh-hoc-12-nang-cao,Sinh học 12 nâng cao,12,Sinh học,single volume,pre-2020 advanced upper-secondary textbook,unknown,2006-2019,inferred-era,images/pre-2020-sinh-hoc-12-nang-cao-sachhoc.jpg,https://sachhoc.com/image/catalog/Sachluyenthi/Sinh-hoc-12-nang-cao.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-12,SachHoc,Related item alt text: Sách giáo khoa sinh học 12 Nâng Cao,Use as research reference; clear reuse rights not established.
pre-2020-giao-duc-quoc-phong-an-ninh-12,Giáo dục quốc phòng - an ninh 12,12,Giáo dục quốc phòng - an ninh,single volume,pre-2020 common textbook / 2006 upper-secondary curriculum era,unknown,2006-2019,inferred-era,images/pre-2020-giao-duc-quoc-phong-an-ninh-12-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/Sachluyenthi/Sach-giao-khoa-giao-duc-an-ninh-quoc-phong-12-500x554.jpg,https://sachhoc.com/sach-giao-khoa-giao-duc-an-ninh-quoc-phong-12,SachHoc,Product page title: Sách giáo khoa giáo dục an ninh quốc phòng 12,Use as research reference; clear reuse rights not established.
pre-2020-toan-3,Toán 3,3,Toán,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-toan-3-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-3-500x554.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-3-ban-day-du,SachHoc,Product page title: Sách giáo khoa toán lớp 3 (bản đầy đủ),Use as research reference; clear reuse rights not established.
pre-2020-toan-5,Toán 5,5,Toán,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-toan-5-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-5.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-5,SachHoc,Related item alt text: Sách giáo khoa toán lớp 5,Use as research reference; clear reuse rights not established.
pre-2020-lich-su-dia-li-5,Lịch sử và Địa lí 5,5,Lịch sử và Địa lí,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-lich-su-dia-li-5-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Lich-su-va-dia-li-5.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-5,SachHoc,Related item alt text: Sách giáo khoa lịch sử và địa lí 5,Use as research reference; clear reuse rights not established.
pre-2020-ngu-van-8-tap-1,Ngữ Văn 8,8,Ngữ Văn,Tập 1,pre-2020 common textbook / 2006 lower-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-ngu-van-8-tap-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop6-9/Sach-giao-khoa-ngu-van-8-tap-1-500x554.jpg,https://sachhoc.com/sach-giao-khoa-ngu-van-8-tap-1-2,SachHoc,"Product page title: Sách giáo khoa Ngữ Văn 8 tập 1,2",Use as research reference; clear reuse rights not established.
pre-2020-ngu-van-8-tap-2,Ngữ Văn 8,8,Ngữ Văn,Tập 2,pre-2020 common textbook / 2006 lower-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-ngu-van-8-tap-2-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop6-9/Sach-giao-khoa-ngu-van-8-tap-2-500x554.jpg,https://sachhoc.com/sach-giao-khoa-ngu-van-8-tap-1-2,SachHoc,"Product page title: Sách giáo khoa Ngữ Văn 8 tập 1,2",Use as research reference; clear reuse rights not established.
pre-2020-cong-nghe-8,Công Nghệ 8,8,Công Nghệ,single volume,pre-2020 common textbook / 2006 lower-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-cong-nghe-8-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop6-9/Cong-nghe-8.jpg,https://sachhoc.com/sach-giao-khoa-ngu-van-8-tap-1-2,SachHoc,Related item alt text: Sách giáo khoa Công Nghệ 8,Use as research reference; clear reuse rights not established.
pre-2020-tin-hoc-8-quyen-3,Tin học dành cho THCS quyển 3,8,Tin học,Quyển 3,pre-2020 common textbook / 2006 lower-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-tin-hoc-8-quyen-3-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop6-9/Tin-hoc-danh-cho-trung-hoc-co-so-quyen-3.jpg,https://sachhoc.com/sach-giao-khoa-ngu-van-8-tap-1-2,SachHoc,Related item alt text: Tin học dành cho trung học cơ sở quyển 3 - Lớp 8,Use as research reference; clear reuse rights not established.
pre-2020-hinh-hoc-10,Hình học 10,10,Hình học,single volume,pre-2020 common textbook / 2006 upper-secondary curriculum era,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-hinh-hoc-10-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Sach-giao-khoa-hinh-hoc-10.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-10,SachHoc,Related item alt text: Sách giáo khoa Hình học 10,Use as research reference; clear reuse rights not established.
pre-2020-dai-so-10-nang-cao,Đại số 10 nâng cao,10,Đại số,single volume,pre-2020 advanced upper-secondary textbook,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-dai-so-10-nang-cao-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Sach-giao-khoa-dai-so-10-nang-cao.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-10,SachHoc,Related item alt text: Sách giáo khoa đại số 10 nâng cao,Use as research reference; clear reuse rights not established.
pre-2020-hinh-hoc-10-nang-cao,Hình học 10 nâng cao,10,Hình học,single volume,pre-2020 advanced upper-secondary textbook,NXB Giáo dục Việt Nam,2006-2019,inferred-era,images/pre-2020-hinh-hoc-10-nang-cao-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop10-12/Sach-giao-khoa-hinh-hoc-10-nang-cao.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-10,SachHoc,Related item alt text: Sách giáo khoa Hình học 10 Nâng Cao,Use as research reference; clear reuse rights not established.
pre-2020-toan-4,Toán 4,4,Toán,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-toan-4-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-4-500x554.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-4,SachHoc,Product page title: Sách giáo khoa toán lớp 4,Use as research reference; clear reuse rights not established.
pre-2020-lich-su-dia-li-4,Lịch sử và Địa lí 4,4,Lịch sử và Địa lí,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-lich-su-dia-li-4-sachhoc.jpg,https://sachhoc.com/image/catalog/LuyenThi/Lop1-5/Lich-su-va-dia-li-4.jpg,https://sachhoc.com/tron-bo-sach-giao-khoa-lop-4,SachHoc,Related item alt text: Sách giáo khoa lịch sử và địa lí 4,Use as research reference; clear reuse rights not established.
